Platform,Manufactur,Year,Publisher,NA,EU,JP,Other,Global,Developer
PSP,Sony,2010,THQ,0.08,0.03,0.0,0.02,0.13,THQ
3DS,Nintendo,2011,Ubisoft,0.08,0.04,0.0,0.01,0.13,MTO
PSP,Sony,2011,Disney Interactive Studios,0.1,0.01,0.0,0.02,0.13,Other
PC,Microsoft,2009,Take-Two Interactive,0.03,0.08,0.0,0.02,0.13,Take-Two Interactive
PS2,Sony,2005,Sega,0.0,0.0,0.13,0.0,0.13,Other
SNES,Nintendo,1995,Enix Corporation,0.0,0.0,0.13,0.0,0.13,Other
PSV,Sony,2014,Namco Bandai Games,0.03,0.04,0.04,0.02,0.13,Ganbarion
DS,Nintendo,2009,Ubisoft,0.12,0.0,0.0,0.01,0.13,Ludia Inc.
PS3,Sony,2008,Activision Value,0.12,0.0,0.0,0.01,0.13,FUN Labs
GBA,Nintendo,2004,Electronic Arts,0.09,0.03,0.0,0.0,0.13,Krome Studios
XB,Microsoft,2004,Konami Digital Entertainment,0.1,0.03,0.0,0.0,0.13,Konami
Wii,Nintendo,2006,Ubisoft,0.1,0.01,0.0,0.01,0.13,Ubisoft Shanghai
PS2,Sony,2001,Electronic Arts,0.06,0.05,0.0,0.02,0.13,Attention Software
PS3,Sony,2009,D3Publisher,0.09,0.02,0.0,0.01,0.13,Vicious Cycle
DS,Nintendo,2005,Konami Digital Entertainment,0.0,0.03,0.1,0.0,0.13,Other
GC,Nintendo,2003,Infogrames,0.1,0.03,0.0,0.0,0.13,Humongous Entertainment
PSP,Sony,2006,Ubisoft,0.11,0.01,0.0,0.01,0.13,Ubisoft Montreal
PSP,Sony,2010,Namco Bandai Games,0.04,0.02,0.05,0.01,0.13,Premium Agency
PS3,Sony,2014,Nippon Ichi Software,0.06,0.01,0.04,0.02,0.13,Other
DC,Sega,2000,Sega,0.0,0.0,0.13,0.0,0.13,TOSE
X360,Microsoft,2012,Capcom,0.08,0.02,0.02,0.01,0.13,From Software
X360,Microsoft,2011,Warner Bros. Interactive Entertainment,0.07,0.04,0.0,0.01,0.13,Double Helix Games
GC,Nintendo,2002,Acclaim Entertainment,0.1,0.03,0.0,0.0,0.13,Acclaim
PS3,Sony,2011,Ubisoft,0.12,0.0,0.0,0.01,0.13,Blue Byte
GEN,Sega,1992,Sega,0.0,0.0,0.13,0.0,0.13,Other
XB,Microsoft,2003,Acclaim Entertainment,0.1,0.03,0.0,0.0,0.13,Acclaim
DS,Nintendo,2010,Namco Bandai Games,0.0,0.0,0.13,0.0,0.13,Other
PS2,Sony,2007,Sega,0.0,0.0,0.13,0.0,0.13,Other
PS3,Sony,2008,MTV Games,0.11,0.0,0.0,0.01,0.13,Harmonix Music Systems
Wii,Nintendo,2008,Sting,0.12,0.0,0.0,0.01,0.13,Sting
X360,Microsoft,2006,D3Publisher,0.11,0.01,0.0,0.01,0.13,Tamsoft
PS2,Sony,2001,3DO,0.06,0.05,0.0,0.02,0.13,3DO
